sample	class
GSM1437809	SPTB
GSM1437810	SPTB
GSM1437831	SPTB
GSM1437844	SPTB
GSM1437845	SPTB
GSM1437856	SPTB
GSM1437857	SPTB
GSM1437860	SPTB
GSM1437861	SPTB
GSM1437878	SPTB
GSM1437879	SPTB
GSM1437880	SPTB
GSM1437885	SPTB
GSM1437886	SPTB
GSM1437887	SPTB
GSM1437888	SPTB
GSM1437893	SPTB
GSM1437894	SPTB
GSM1437897	SPTB
GSM1437898	SPTB
GSM1437907	SPTB
GSM1437908	SPTB
GSM1437909	SPTB
GSM1437910	SPTB
GSM1437921	SPTB
GSM1437926	SPTB
GSM1437927	SPTB
GSM1437936	SPTB
GSM1437937	SPTB
GSM1437942	SPTB
GSM1437943	SPTB
GSM1437944	SPTB
GSM1437945	SPTB
GSM1437946	SPTB
GSM1437951	SPTB
GSM1437952	SPTB
GSM1437959	SPTB
GSM1437960	SPTB
GSM1437967	SPTB
GSM1437968	SPTB
GSM1437977	SPTB
GSM1437978	SPTB
GSM1437979	SPTB
GSM1437980	SPTB
GSM1437985	SPTB
GSM1437986	SPTB
GSM1437991	SPTB
GSM1437992	SPTB
GSM1438013	SPTB
GSM1438014	SPTB
GSM1438021	SPTB
GSM1438022	SPTB
GSM1438025	SPTB
GSM1438026	SPTB
GSM1438027	SPTB
GSM1438028	SPTB
GSM1438031	SPTB
GSM1438032	SPTB
GSM1438041	SPTB
GSM1438042	SPTB
GSM1438045	SPTB
GSM1438046	SPTB
GSM1438047	SPTB
GSM1438048	SPTB
GSM1438049	SPTB
GSM1438050	SPTB
GSM1438051	SPTB
GSM1438052	SPTB
GSM1438053	SPTB
GSM1438054	SPTB
GSM1438055	SPTB
GSM1438056	SPTB
GSM1438057	SPTB
GSM1438058	SPTB
GSM1438059	SPTB
GSM1438060	SPTB
GSM1438061	SPTB
GSM1438062	SPTB
GSM1438071	SPTB
GSM1438072	SPTB
GSM1438073	SPTB
GSM1438074	SPTB
GSM1438077	SPTB
GSM1438078	SPTB
GSM1438081	SPTB
GSM1438082	SPTB
GSM1438095	SPTB
GSM1438096	SPTB
GSM1438107	SPTB
GSM1438108	SPTB
GSM1438119	SPTB
GSM1438120	SPTB
GSM1438121	SPTB
GSM1438122	SPTB
GSM1438123	SPTB
GSM1438124	SPTB
GSM1438125	SPTB
GSM1438126	SPTB
GSM1437801	Term
GSM1437802	Term
GSM1437803	Term
GSM1437804	Term
GSM1437805	Term
GSM1437806	Term
GSM1437807	Term
GSM1437808	Term
GSM1437811	Term
GSM1437812	Term
GSM1437813	Term
GSM1437814	Term
GSM1437815	Term
GSM1437816	Term
GSM1437817	Term
GSM1437818	Term
GSM1437819	Term
GSM1437820	Term
GSM1437821	Term
GSM1437822	Term
GSM1437823	Term
GSM1437824	Term
GSM1437825	Term
GSM1437826	Term
GSM1437827	Term
GSM1437828	Term
GSM1437829	Term
GSM1437830	Term
GSM1437832	Term
GSM1437833	Term
GSM1437834	Term
GSM1437835	Term
GSM1437836	Term
GSM1437837	Term
GSM1437838	Term
GSM1437839	Term
GSM1437840	Term
GSM1437841	Term
GSM1437842	Term
GSM1437843	Term
GSM1437846	Term
GSM1437847	Term
GSM1437848	Term
GSM1437849	Term
GSM1437850	Term
GSM1437851	Term
GSM1437852	Term
GSM1437853	Term
GSM1437854	Term
GSM1437855	Term
GSM1437858	Term
GSM1437859	Term
GSM1437862	Term
GSM1437863	Term
GSM1437864	Term
GSM1437865	Term
GSM1437866	Term
GSM1437867	Term
GSM1437868	Term
GSM1437869	Term
GSM1437870	Term
GSM1437871	Term
GSM1437872	Term
GSM1437873	Term
GSM1437874	Term
GSM1437875	Term
GSM1437876	Term
GSM1437877	Term
GSM1437881	Term
GSM1437882	Term
GSM1437883	Term
GSM1437884	Term
GSM1437889	Term
GSM1437890	Term
GSM1437891	Term
GSM1437892	Term
GSM1437895	Term
GSM1437896	Term
GSM1437899	Term
GSM1437900	Term
GSM1437901	Term
