GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
Lable	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
CRISP3	1.98493	2.5103	2.6819	1.946	2.31033	2.42852	2.20713	2.1808	1.91223	3.66883	11.1819	12.2124	12.195	10.1396	10.9762	12.2331	12.4823	10.5032	11.4999	11.9177
SPARCL1	8.93391	8.75296	4.20218	8.78468	6.89633	7.84061	8.20667	8.54378	8.91994	8.34572	10.5105	12.0234	11.0427	6.93075	10.4984	10.1453	10.167	10.9144	10.1636	11.1357
AMY1A	6.28676	11.8183	10.7845	7.01212	11.1785	8.5039	7.32251	10.0516	8.70568	8.53714	11.551	11.7748	11.3105	9.45656	11.5183	11.6883	11.4177	11.4795	11.3343	10.4046
AMY1B	6.28676	11.8183	10.7845	7.01212	11.1785	8.5039	7.32251	10.0516	8.70568	8.53714	11.551	11.7748	11.3105	9.45656	11.5183	11.6883	11.4177	11.4795	11.3343	10.4046
AMY1C	6.28676	11.8183	10.7845	7.01212	11.1785	8.5039	7.32251	10.0516	8.70568	8.53714	11.551	11.7748	11.3105	9.45656	11.5183	11.6883	11.4177	11.4795	11.3343	10.4046
AMY2A	6.28676	11.8183	10.7845	7.01212	11.1785	8.5039	7.32251	10.0516	8.70568	8.53714	11.551	11.7748	11.3105	9.45656	11.5183	11.6883	11.4177	11.4795	11.3343	10.4046
AMY2B	6.28676	11.8183	10.7845	7.01212	11.1785	8.5039	7.32251	10.0516	8.70568	8.53714	11.551	11.7748	11.3105	9.45656	11.5183	11.6883	11.4177	11.4795	11.3343	10.4046
ACTG1P4	6.28676	11.8183	10.7845	7.01212	11.1785	8.5039	7.32251	10.0516	8.70568	8.53714	11.551	11.7748	11.3105	9.45656	11.5183	11.6883	11.4177	11.4795	11.3343	10.4046
SCGB2A1	8.20299	8.29044	7.58872	7.11321	10.24	8.15782	9.27235	9.13683	5.46255	9.50849	8.08036	9.27733	10.08	6.82683	9.83525	9.37368	9.10603	8.54315	7.62356	7.79834
CP	6.58433	6.7346	9.52351	9.9496	11.1373	8.27068	10.7313	7.2084	11.5863	9.95119	10.5112	8.34396	9.58018	8.40014	9.05563	10.2049	9.93329	9.68018	9.72836	10.7339
GJB2	3.48	6.62083	4.21532	8.70881	3.32203	4.62889	2.21751	2.48845	7.11411	2.00533	2.10336	3.79724	4.17789	3.56027	2.20386	2.77488	2.7548	2.84313	2.71279	2.47397
HLA-DQB1	5.19582	2.00815	9.81445	2.68518	5.29044	5.792	3.05103	6.94848	8.08401	6.40133	11.382	2.17477	10.9003	3.01258	9.21584	10.8832	2.34545	9.30701	10.0938	10.5374
CRISP2	2.20191	1.72415	2.41369	1.8502	2.48947	2.15297	2.57928	2.52299	2.21938	2.82638	9.63051	8.2693	9.52745	5.63826	10.4061	10.1352	9.01161	10.0973	9.88191	9.31009
FN1	9.99439	6.87798	9.34628	11.7033	5.74844	9.31531	8.97494	8.00246	10.6759	7.85552	7.04221	5.76111	6.28923	4.80048	6.14938	4.55542	5.19308	5.4989	4.79429	8.13658
RHOBTB3	2.17242	2.08956	2.00499	3.79636	1.90719	1.97344	3.31392	3.38726	4.95238	2.85075	2.26074	2.6949	2.54819	1.97098	3.25022	2.18785	3.75865	3.21432	3.0476	3.52584
FAM153B	8.55872	7.26017	6.12349	3.03489	7.54226	7.75671	3.9505	8.54933	6.53814	7.30235	11.3388	9.70626	10.5682	7.47744	11.0215	11.1062	9.45341	10.9571	10.889	10.5174
FAM153A	8.55872	7.26017	6.12349	3.03489	7.54226	7.75671	3.9505	8.54933	6.53814	7.30235	11.3388	9.70626	10.5682	7.47744	11.0215	11.1062	9.45341	10.9571	10.889	10.5174
FAM153C	8.55872	7.26017	6.12349	3.03489	7.54226	7.75671	3.9505	8.54933	6.53814	7.30235	11.3388	9.70626	10.5682	7.47744	11.0215	11.1062	9.45341	10.9571	10.889	10.5174
LOC100507387	8.55872	7.26017	6.12349	3.03489	7.54226	7.75671	3.9505	8.54933	6.53814	7.30235	11.3388	9.70626	10.5682	7.47744	11.0215	11.1062	9.45341	10.9571	10.889	10.5174
S100A2	7.08797	8.76209	9.70749	7.98949	7.13091	7.73458	7.62909	3.67494	11.4575	4.70208	4.03855	4.66666	3.91101	5.80181	4.32675	5.0156	4.55352	3.83671	5.1279	4.4149
MMP1	3.67965	1.94644	5.36466	2.75523	2.13752	3.84142	3.0861	2.00438	2.04377	2.27648	2.15569	2.48743	2.11977	1.82848	1.59142	2.51375	3.10328	2.55874	2.66909	1.90051
ERBB4	6.01259	8.95167	8.72337	8.22321	9.32378	4.71584	6.53739	7.56114	9.52691	8.8155	8.00232	10.3133	9.59428	5.52448	9.53535	8.91321	9.08426	8.47435	7.87422	7.1442
ENO1	2.75134	3.61375	3.06148	2.59793	2.86629	2.78502	2.73434	2.33598	3.2833	2.66944	2.7292	2.44501	2.14914	2.91153	2.27157	2.48905	2.37239	2.03425	2.08618	2.7548
EMX2	9.56722	9.57519	9.84823	9.43664	9.50922	7.6765	9.99618	9.72635	9.0503	10.1502	8.52868	9.42569	8.9992	3.08704	8.97223	8.85404	8.6275	8.76154	9.5923	8.25289
PEG3	8.13317	7.67303	6.68313	6.8406	8.01764	6.55741	6.74577	10.4394	10.93	6.59757	9.66359	9.44311	8.73251	6.38229	8.71569	8.56568	8.30784	10.202	9.59531	10.4317
SCN1A	2.03274	2.39194	1.888	1.74146	2.02181	1.74282	2.11177	1.6129	2.10215	1.89455	8.553	8.13008	8.50835	5.95446	9.28332	10.3758	10.2747	10.6636	8.79861	5.92206
LAMB1	5.18514	4.77979	2.12769	4.22899	2.73813	3.29934	2.68982	3.34698	3.7152	3.13685	2.03975	4.0373	2.34985	3.21112	2.73024	2.33039	2.23115	2.86076	3.17189	2.97474
