_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.6574393632154356,GO:0032787,M1,1,0,GO Biological Processes,19,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-3.6574393632154356,12.953585593311182,6.69916633117277,30211,491,19,4,21.05263157894737,9.352877017248828,37|5571|8605|8876,ACADVL|PRKAG1|PLA2G4C|VNN1,0.0,0,1,1,1,-3.6574393632154356,14.67740890688259,
1,-2.978056152671593,GO:0006631,M1,1,0,GO Biological Processes,19,fatty acid metabolic process,19_GO:0008152 metabolic process,-2.978056152671593,14.67740890688259,6.218961055032451,30211,325,19,3,15.789473684210526,8.36546751830554,37|5571|8605,ACADVL|PRKAG1|PLA2G4C,0.0,0,1,0,0,-3.6574393632154356,14.67740890688259,
1,-3.1696223171405573,GO:0016050,M1,1,0,GO Biological Processes,19,vesicle organization,19_GO:0009987 cellular process,-3.1696223171405573,17.097340124504807,6.776330437080746,30211,279,19,3,15.789473684210526,8.36546751830554,6844|54874|415117,VAMP2|FNBP1L|STX19,0.0,0,2,1,1,-3.1696223171405573,17.097340124504807,
1,-2.9140038584208208,GO:0061024,M1,1,0,GO Biological Processes,19,membrane organization,19_GO:0009987 cellular process,-2.9140038584208208,8.217326261389909,5.102773204015877,30211,774,19,4,21.05263157894737,9.352877017248828,5339|6844|54874|415117,PLEC|VAMP2|FNBP1L|STX19,0.0,0,2,0,0,-3.1696223171405573,17.097340124504807,
1,-2.435860223467547,GO:0010256,M1,1,0,GO Biological Processes,19,endomembrane system organization,19_GO:0009987 cellular process,-2.435860223467547,9.464598997493733,4.807269618262407,30211,504,19,3,15.789473684210526,8.36546751830554,5339|54874|415117,PLEC|FNBP1L|STX19,0.0,0,2,0,0,-3.1696223171405573,17.097340124504807,
1,-2.1587681399867886,R-HSA-199991,M1,1,0,Reactome Gene Sets,6,Membrane Trafficking,,-2.1587681399867886,7.52390835131994,4.1646800389980765,30211,634,19,3,15.789473684210526,8.36546751830554,5571|6844|54874,PRKAG1|VAMP2|FNBP1L,0.0,0,2,0,0,-3.1696223171405573,17.097340124504807,
1,-2.0875944520971896,R-HSA-5653656,M1,1,0,Reactome Gene Sets,6,Vesicle-mediated transport,,-2.0875944520971896,7.087901775240478,4.006737100999962,30211,673,19,3,15.789473684210526,8.36546751830554,5571|6844|54874,PRKAG1|VAMP2|FNBP1L,0.0,0,2,0,0,-3.1696223171405573,17.097340124504807,
1,-2.7321464463791436,GO:0007268,M1,1,0,GO Biological Processes,19,chemical synaptic transmission,19_GO:0023052 signaling,-2.7321464463791436,12.04585326953748,5.550545635481818,30211,396,19,3,15.789473684210526,8.36546751830554,6560|6844|415117,SLC12A4|VAMP2|STX19,0.0,0,3,1,1,-2.7321464463791436,12.04585326953748,
1,-2.7321464463791436,GO:0098916,M1,1,0,GO Biological Processes,19,anterograde trans-synaptic signaling,19_GO:0023052 signaling,-2.7321464463791436,12.04585326953748,5.550545635481818,30211,396,19,3,15.789473684210526,8.36546751830554,6560|6844|415117,SLC12A4|VAMP2|STX19,0.0,0,3,0,0,-2.7321464463791436,12.04585326953748,
1,-2.680178235376943,GO:0099537,M1,1,0,GO Biological Processes,19,trans-synaptic signaling,19_GO:0023052 signaling,-2.680178235376943,11.550019115585574,5.41552962777743,30211,413,19,3,15.789473684210526,8.36546751830554,6560|6844|415117,SLC12A4|VAMP2|STX19,0.0,0,3,0,0,-2.7321464463791436,12.04585326953748,
1,-2.596555858085437,GO:0099536,M1,1,0,GO Biological Processes,19,synaptic signaling,19_GO:0023052 signaling,-2.596555858085437,10.792212431531317,5.202547568561734,30211,442,19,3,15.789473684210526,8.36546751830554,6560|6844|415117,SLC12A4|VAMP2|STX19,0.0,0,3,0,0,-2.7321464463791436,12.04585326953748,
1,-2.1382179774302665,GO:0045859,M1,1,0,GO Biological Processes,19,regulation of protein kinase activity,19_GO:0008152 metabolic process,-2.1382179774302665,7.3955936352509175,4.1187995287628825,30211,645,19,3,15.789473684210526,8.36546751830554,5339|5571|129138,PLEC|PRKAG1|ANKRD54,0.0,0,4,1,1,-2.1382179774302665,7.3955936352509175,
